ZIP Code,City/Parish,Population,Classification,Passes Active Filters,Rural Designation (RUCA Category),Broadband Deserts,Social Vulnerability (Poverty),Social Vulnerability (Food Access),Transportation (Vehicle Ownership),Healthcare Facility (Specialty),Healthcare Facility (Acute),Diabetes Prevalence,Population
70733,70733,1497,Urban,Yes,2,1.69,12,8,1.4383824298413805,0,0,10.3,1497
70734,70734,9880,Urban,Yes,1,1.03,9.6,10,1.3530435604419837,0,0,10.5,9880
70736,70736,308,Rural,Yes,2,13,20,11,2.2419136161146622,0,0,9.4,308
70737,70737,47971,Urban,Yes,1,1.03,9.6,10,1.3530435604419837,2,0,10.5,47971
70739,70739,13714,Urban,Yes,1,1.8399999999999999,17.7,12,2.952666225028556,0,0,10.9,13714
70740,70740,883,Urban,Yes,2,8.14,18.7,2,2.7805362462760677,0,0,10.9,883
70743,70743,756,Urban,Yes,2,0.84,16.6,9,3.1508213041314086,0,0,11,756
70744,70744,5857,Urban,Yes,2,1.69,12,8,1.4383824298413805,0,0,10.3,5857
70747,70747,743,Rural,Yes,10,13,20,11,2.2419136161146622,0,0,9.4,743
70748,70748,7016,Rural,Yes,2,17.1,18.7,0,2.817191034340942,2,2,10.1,7016
70749,70749,1768,Rural,Yes,2,13,20,11,2.2419136161146622,0,0,9.4,1768
70750,70750,1108,Rural,Yes,10,3.42,22.6,11,3.6185724320003874,0,0,9,1108
70752,70752,582,Rural,Yes,2,13,20,11,2.2419136161146622,0,0,9.4,582
70753,70753,582,Rural,Yes,10,13,20,11,2.2419136161146622,0,0,9.4,582
70754,70754,12153,Urban,Yes,2,1.69,12,8,1.4383824298413805,0,0,10.3,12153
70755,70755,1500,Rural,Yes,2,13,20,11,2.2419136161146622,0,0,9.4,1500
70756,70756,1066,Rural,Yes,2,13,20,11,2.2419136161146622,0,0,9.4,1066
70757,70757,2204,Urban,Yes,2,8.14,18.7,2,2.7805362462760677,0,0,10.9,2204
70759,70759,996,Rural,Yes,2,13,20,11,2.2419136161146622,0,0,9.4,996
70760,70760,6119,Rural,Yes,2,13,20,11,2.2419136161146622,0,1,9.4,6119
70761,70761,551,Rural,Yes,2,17.1,18.7,0,2.817191034340942,0,0,10.1,551
70762,70762,1028,Rural,Yes,2,13,20,11,2.2419136161146622,0,0,9.4,1028
70763,70763,4539,Urban,Yes,1,0.84,16.6,9,3.1508213041314086,0,0,11,4539
70764,70764,15046,Urban,Yes,1,8.14,18.7,2,2.7805362462760677,1,0,10.9,15046
70767,70767,15116,Urban,Yes,1,7.75,14.400000000000002,7,1.9761113343317382,0,0,8.7,15116
70769,70769,48074,Urban,Yes,1,1.03,9.6,10,1.3530435604419837,0,1,10.5,48074
70770,70770,3279,Urban,Yes,2,1.8399999999999999,17.7,12,2.952666225028556,0,0,10.9,3279
70772,70772,1083,Urban,Yes,2,8.14,18.7,2,2.7805362462760677,0,0,10.9,1083
70773,70773,14,Rural,Yes,2,13,20,11,2.2419136161146622,0,0,9.4,14
70774,70774,10093,Urban,Yes,1,1.03,9.6,10,1.3530435604419837,0,0,10.5,10093
70775,70775,10709,Rural,Yes,10,49.09,22.1,15,0.9701784086469593,0,2,8.1,10709
